Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Coiffure,SALONS HAIR CLUB FRANCE,1993-06-30,35 RUE EMILE LEPEU 75011 PARIS,75011,PARIS,75,,,,391977238,96.02A
Coiffure,ISABELLE PLICHON (PEDRONO),1993-04-05,11 RUE FELIX CADRAS 62640 MONTIGNY-EN-GOHELLE,62640,MONTIGNY-EN-GOHELLE,62,,,,390880151,96.02A
Coiffure,THIERRY ANTOINE,1993-01-01,13 RUE MASSENET 06000 NICE,06000,NICE,06,,,,391000148,96.02A
"Entretien corporel (spa, hammam...)",SEMETHERM DEVELOPPEMENT,1992-12-11,ETABLISSEMENT THERMAL PLACE DES THERMES 65200 BAGNERES-DE-BIGORRE,65200,BAGNERES-DE-BIGORRE,65,,,,390206019,96.04Z
"Entretien corporel (spa, hammam...)",SOCIETE ANONYME HOTELIERE DES ROULIERS SENLISIENS (SHRS),1992-12-10,16 RUE BLAISE PASCAL 17180 PERIGNY,17180,PERIGNY,17,,,,389409491,96.04Z
Coiffure,SARL PATLY (JOLIES MOMES),1992-07-23,CTRE CIAL LIEUDIT LES ORVILLES 28630 BARJOUVILLE,28630,BARJOUVILLE,28,,,,388200073,96.02A
Coiffure,SARL ELEVATION,1992-07-01,168 PLACE DE MAGNY 60640 GUISCARD,60640,GUISCARD,60,,,,392268017,96.02A
"Entretien corporel (spa, hammam...)",INGRID BRIEND (HABERSAAT),1992-07-01,28 RUE DU PORT 35260 CANCALE,35260,CANCALE,35,,,,388248130,96.04Z
Soins de beauté / esthétique,C.G. MULLER,1992-04-01,53 CLOS DES LILAS 57155 MARLY,57155,MARLY,57,,,,385360821,96.02B
Coiffure,LAURENCE DESPRES (BLANVILLAIN),1992-01-29,3 LIEU DIT VILLIERS 45340 BEAUNE-LA-ROLANDE,45340,BEAUNE-LA-ROLANDE,45,,,,384498705,96.02A
